Listing Title,Property Type,Listing Type,City,Zipcode,Bedrooms,Bathrooms,Max Guests,Airbnb Superhost,Host Listing Count,Instantbook Enabled,Pets Allowed,Average Daily Rate (USD),Cleaning Fee (USD),Annual Revenue LTM (USD),Extra People Fee (USD),Count Available Days LTM,Count Reservation Days LTM,Occupancy Rate LTM,Number of Bookings LTM,Overall Rating,Airbnb Communication Rating,Airbnb Accuracy Rating,Airbnb Cleanliness Rating,Airbnb Checkin Rating,Airbnb Location Rating,Airbnb Value Rating,Latitude,Longitude
Brand new Studio for rent in the heart of Dubai.,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,14.0,True,False,87,54.0,6078,0.0,68,62,100,3,4.2,10.0,7.0,7.0,10.0,9.0,8.0,25.04558,55.20525
Golf View 1 BR Apartment  with Pool,Entire rental unit,entire_home,Dubai,25314,1,2,2,t,,False,False,150,0.0,720,0.0,32,4,15,0,,,,,,,,25.04556,55.20544
Superbe appartement vue sur la sky marina,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,68,0.0,162,0.0,7,2,34,1,,,,,,,,25.0457,55.20549
Super Luxury 1-bedroom for rent in prime location,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,14.0,True,False,84,54.0,2383,0.0,37,21,68,5,5.0,9.0,10.0,10.0,10.0,9.0,10.0,25.04543,55.20575
new brand apartment king bead,Entire rental unit,entire_home,دبي,25314,1,1,3,f,,False,False,51,0.0,1530,0.0,60,25,50,3,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.04589,55.20697
Spacious fully furnished studio with view on JVC,Entire condo,entire_home,Dubai,25314,Studio,1,2,t,1.0,True,True,60,33.0,8670,0.0,139,118,100,10,4.8,10.0,10.0,10.0,10.0,9.0,10.0,25.046,55.206
Jvc -the square tower new building with facilities,Entire condo,entire_home,Dubai,25314,1,1,2,f,,False,False,136,0.0,808,0.0,33,5,18,3,,,,,,,,25.046,55.206
Cosy stylish studio in JVC,Entire vacation home,entire_home,Dubai,25314,Studio,1,2,t,,False,False,74,0.0,805,0.0,17,9,64,0,5.0,10.0,10.0,10.0,10.0,8.0,10.0,25.046,55.206
Modern Apt in JVC with Swimming Pool and Gym,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,False,False,91,0.0,10505,0.0,222,97,52,10,5.0,10.0,10.0,9.0,9.0,9.0,9.0,25.046,55.207
High-toned Apt in JVC with Panoramic City Views,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,92,38.0,9867,0.0,189,86,55,8,4.5,8.0,9.0,9.0,10.0,8.0,9.0,25.046,55.207
Chic Apt in JVC with Swimming Pool and Gym,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,100,38.0,14716,0.0,256,120,56,10,3.8,8.0,8.0,8.0,9.0,7.0,8.0,25.046,55.207
Glamorous Apt with Panoramic City Views in JVC,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,63,0.0,2019,0.0,89,27,36,3,4.5,10.0,9.0,10.0,10.0,8.0,9.0,25.046,55.207
Stylish Apt with Panoramic City Views with Pool,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,97,38.0,10608,0.0,196,86,53,14,4.0,10.0,10.0,10.0,10.0,8.0,8.0,25.046,55.207
Spacious Apartment in JVC near Dubai Sports City,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,90,38.0,18816,0.0,224,156,80,11,4.6,8.0,10.0,10.0,10.0,9.0,10.0,25.046,55.207
Elegant Apt with Panoramic City Views in JVC,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,87,38.0,7520,0.0,110,69,75,9,2.0,8.0,4.0,6.0,2.0,6.0,2.0,25.046,55.207
Chic and Well-Lit Apartment in the heart of JVC,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,78,38.0,3779,0.0,81,37,55,8,2.8,10.0,7.0,6.0,7.0,5.0,6.0,25.046,55.207
Lavish Apt in JVC steps from Dubai Sports City,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,100,38.0,8384,0.0,246,67,33,7,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.046,55.207
Charming Apartment in JVC with Swimming Pool,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,160.0,True,False,99,38.0,6474,0.0,163,51,38,9,4.0,9.0,8.0,8.0,8.0,6.0,6.0,25.046,55.207
Cosy Studio Apartment in Jumeirah Village Circle,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,61,0.0,12473,0.0,213,170,96,17,3.8,10.0,9.0,9.0,10.0,9.0,7.0,25.04623,55.20661
Great view of Golf from the one bedroom Elite 10,Entire rental unit,entire_home,Dubai,25314,1,2,3,t,76.0,True,False,77,41.0,4904,13.6167,76,47,74,14,4.7,9.0,9.0,9.0,9.0,9.0,9.0,25.04322,55.20822
2 Minutes to bus station-Golf View one- bedroom.,Entire rental unit,entire_home,Dubai,25314,1,2,3,t,76.0,True,False,99,41.0,8098,0.0,76,71,100,14,4.8,10.0,10.0,9.0,10.0,9.0,9.0,25.04341,55.20846
"Fresh, Super Clean - Golf View Two Bedroom",Entire rental unit,entire_home,Dubai,25314,2,2,5,t,76.0,True,False,124,41.0,10571,2.725,106,64,72,27,4.8,10.0,10.0,10.0,10.0,9.0,10.0,25.04423,55.20927
"Comfy studio golf view 
In sport city",Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,True,47,0.0,3910,0.0,208,69,40,2,4.0,6.0,10.0,4.0,10.0,10.0,8.0,25.04456,55.20952
Comfy Apartment Steps Away from the Bus Station,Entire rental unit,entire_home,Dubai,25314,1,2,3,t,76.0,True,False,76,41.0,6432,5.45,76,64,100,16,4.7,10.0,10.0,9.0,10.0,9.0,9.0,25.04399,55.21029
Cosy 1-Bedroom in JVC,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,,False,True,88,0.0,264,0.0,3,3,100,5,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0454,55.20773
Serene - Studio Apartment in Jvc,Entire rental unit,entire_home,دبي,25314,1,1,2,f,,False,False,64,0.0,305,0.0,17,4,28,0,,,,,,,,25.04683,55.20731
Bright & Stylish Unit in Family-oriented Location!,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,556.0,True,False,112,41.0,271,0.0,33,1,4,3,,,,,,,,25.04244,55.21411
Enjoy your stay in Comfy Guest Place,Shared room in rental unit,shared_room,Dubai,25314,1,1,1,f,4.0,False,False,13,12.0,173,0.0,36,11,37,0,4.5,9.0,10.0,8.0,10.0,8.0,8.0,25.04293,55.21442
BEAUTIFUL COZY 1 BEDROOM APARTMENT with 2 BEDS,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,11.0,False,False,80,0.0,6156,0.0,135,64,57,5,4.2,9.0,9.0,8.0,9.0,9.0,8.0,25.04284,55.21483
Private Room in massive 1BHK,Private room in rental unit,private_room,Dubai,25314,1,1,1,f,,False,False,41,0.0,532,0.0,118,11,11,4,5.0,10.0,10.0,10.0,10.0,9.0,9.0,25.03971,55.2165
cozy sofa-bed with balcony,Private room in rental unit,private_room,Dubai,25314,1,1,1,f,,False,True,36,0.0,650,0.0,19,15,95,4,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0401,55.21663
Lovely studio with POOL & GYM,Entire rental unit,entire_home,Dubai,25314,1,1,4,f,,False,False,41,0.0,49,0.0,8,1,15,0,,,,,,,,25.04063,55.21667
Modern and homely private room,Private room in rental unit,private_room,Dubai,25314,1,1,2,f,,False,True,36,0.0,2161,0.0,69,50,87,1,,,,,,,,25.03941,55.21763
Gorgeous and cozy private room.,Private room in rental unit,private_room,Dubai,25314,1,1,2,f,,False,False,38,0.0,46,0.0,8,1,15,1,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.04,55.217
Affordable 1 BHK in Sports City RR,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,False,54,0.0,1674,0.0,31,31,100,0,,,,,,,,25.03999,55.21714
"Fresh, Super Clean- One bedroom make it home",Entire rental unit,entire_home,Dubai,25314,1,2,3,f,33.0,False,False,110,34.0,2115,24.5,61,15,30,3,4.7,9.0,9.0,9.0,9.0,9.0,9.0,25.0393,55.21789
Stunning and Spacious Studio | Peaceful Neighborhood,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,61,0.0,2344,0.0,61,32,63,4,3.4,7.0,7.0,9.0,8.0,7.0,7.0,25.03948,55.2187
Exclusive Studio | Amazing living | Free Amenities,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,49,0.0,3381,0.0,69,64,100,1,,,,,,,,25.039638535731445,55.21802379222618
"One-bedroom serviced apartment, Fit republic gym",Entire guest suite,entire_home,Dubai,25314,1,1,4,f,,False,True,103,0.0,8195,0.0,102,66,78,2,5.0,10.0,9.0,10.0,10.0,10.0,9.0,25.03968,55.2182
Tranquil Studio - Sports City| Pool |Sauna|Jacuzzi,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,False,106,0.0,127,0.0,2,1,60,0,4.0,8.0,6.0,10.0,10.0,6.0,6.0,25.03984,55.21785
Cozy and elegant private room.,Private room in rental unit,private_room,Dubai,25314,1,1,2,f,,False,True,60,0.0,1501,0.0,61,21,41,4,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.04,55.218
Fully furnished studio,Entire rental unit,entire_home,Dubai,25314,Studio,1,1,f,1.0,True,False,68,0.0,82,0.0,2,1,60,0,,,,,,,,25.04018,55.21718
Spacious 2BR apartment in Sport City,Entire rental unit,entire_home,Dubai,25314,2,3,5,t,,False,False,77,0.0,8359,0.0,118,90,92,6,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.04061,55.2172
Sprit studio by suprhost,Entire condo,entire_home,Dubai,25314,Studio,1,2,f,12.0,True,False,38,35.0,4253,0.0,133,89,80,6,3.9,8.0,7.0,7.0,9.0,8.0,8.0,25.04064,55.21738
Beautiful modern one bedroom The Medalist Tower,Entire rental unit,entire_home,Dubai,25314,1,2,3,t,,False,False,72,0.0,1996,0.0,28,23,99,5,4.8,10.0,10.0,10.0,10.0,9.0,9.0,25.04097,55.21735
"Enticing 1BR in Spirit Tower, Sports City",Entire condo,entire_home,Dubai,25314,1,2,2,f,51.0,False,False,67,0.0,1209,0.0,41,15,44,3,5.0,10.0,10.0,10.0,10.0,8.0,10.0,25.04095,55.21743
Modern One bedroom Sport City. View Roof top Pool,Entire rental unit,entire_home,Dubai,25314,1,2,3,t,76.0,True,False,87,33.0,13791,0.0,146,135,100,33,4.8,10.0,10.0,10.0,10.0,9.0,9.0,25.04082,55.21772
Lovely 1 bedroom Apartment With Balcony And View,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,109,0.0,131,0.0,2,1,60,0,,,,,,,,25.04024,55.21787
Cozy Studio in Sports City!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,52,0.0,4982,0.0,143,80,67,6,3.6,8.0,7.0,9.0,7.0,7.0,8.0,25.04049,55.21869
Lovely fully furnished studio apartment with pool,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,2.0,True,False,60,0.0,3919,0.0,142,55,46,12,4.5,9.0,9.0,9.0,9.0,9.0,9.0,25.04076,55.21856
Cosy Studio Apartment in Sports City,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,33,0.0,4026,0.0,122,113,100,11,4.8,9.0,9.0,10.0,9.0,9.0,9.0,25.04116,55.21656
Large Spac Comfy Sport City Room,Private room in rental unit,private_room,Dubai,25314,1,1,1,f,,False,False,29,0.0,2546,0.0,154,73,57,2,3.0,10.0,6.0,6.0,10.0,10.0,8.0,25.04234,55.21525
Sleek Studio in Sports City,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,65,0.0,3965,0.0,61,57,100,2,,,,,,,,25.04179,55.21709
Entire 1 Bedroom apartment in Dubai Sports City !,Entire rental unit,entire_home,Dubai,25314,2,1,4,f,1.0,False,False,107,11.0,1038,0.0,25,8,38,2,5.0,10.0,9.0,8.0,10.0,9.0,10.0,25.04179,55.21715
Full Studio with kitchen in Sports City,Entire rental unit,entire_home,Dubai,25314,Studio,1,3,f,,False,False,48,0.0,7800,0.0,250,136,65,15,4.3,9.0,9.0,9.0,9.0,9.0,9.0,25.04128,55.21822
Spacious 1-bedroom for rent fully furnished,Entire vacation home,entire_home,Dubai,25314,1,2,2,f,,False,False,71,0.0,256,0.0,24,3,15,0,,,,,,,,25.04109,55.21842
Comfy Single Bed in Spac Hall,Shared room in rental unit,shared_room,Dubai,25314,1,1,1,f,,False,False,16,0.0,37,0.0,18,2,13,0,,,,,,,,25.04376,55.21342
Studio Apartment in Sports City - near GOLF CLUB,Entire condo,entire_home,Dubai,25314,1,1,2,t,1.0,False,False,50,68.0,4100,0.0,75,58,93,9,5.0,10.0,10.0,10.0,10.0,9.0,10.0,25.04383,55.21471
Lovely studio and amazing view,Entire rental unit,entire_home,Dubai,25314,1,1,4,f,,False,False,57,0.0,1517,0.0,121,22,22,4,,,,,,,,25.04473,55.21371
Huge flat with golf course view,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,,False,True,74,0.0,3095,0.0,47,35,89,3,4.0,9.0,9.0,7.0,10.0,8.0,8.0,25.04425,55.21436
AFFORDABLE AND GREAT STAY 3 BEDROOMS APARTMENT,Entire rental unit,entire_home,Dubai,25314,3,2,7,f,11.0,False,False,132,0.0,4133,0.0,101,26,31,3,5.0,9.0,9.0,9.0,10.0,8.0,9.0,25.04437,55.21462
FABULOUS AND COMFY 2 BEDROOM APARTMENT,Entire rental unit,entire_home,Dubai,25314,2,2,4,f,11.0,True,False,109,0.0,131,0.0,3,1,40,0,3.0,10.0,5.0,5.0,7.0,10.0,6.0,25.04461,55.21418
Cozy studio in Sportcity+car park,Entire rental unit,entire_home,Dubai,25314,1,1,2,t,1.0,False,False,68,71.0,6203,0.0,86,81,100,5,4.7,10.0,10.0,9.0,10.0,9.0,9.0,25.04598,55.21416
Lovely Two Bedrooms Apartment,Entire rental unit,entire_home,Dubai,25314,2,2,4,f,11.0,True,False,82,0.0,2364,0.0,31,24,93,0,2.0,10.0,8.0,2.0,10.0,4.0,4.0,25.04308,55.21532
Hidden Gem 1 Bedroom apt in Dubai Sport City,Entire rental unit,entire_home,Dubai,25314,1,2,2,t,,False,True,80,0.0,6048,0.0,90,63,84,1,,,,,,,,25.0435,55.2155
COZY AND LOVELY 1 BEDROOM APARTMENT with 2 BEDS,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,11.0,False,False,85,0.0,4298,0.0,79,42,64,2,3.9,9.0,8.0,7.0,8.0,7.0,8.0,25.044,55.215
Spacious 1 bedroom apartment.,Entire home,entire_home,Dubai,25314,1,2,3,f,,False,False,101,0.0,121,0.0,4,1,30,1,3.0,10.0,8.0,6.0,10.0,8.0,6.0,25.044,55.215
Lovely 1 bedroom vacation home apartment,Entire vacation home,entire_home,Dubai,25314,1,2,3,f,,False,False,73,0.0,263,0.0,4,3,90,0,2.0,10.0,6.0,4.0,10.0,6.0,6.0,25.044,55.215
Clean and Spacious Master Bedroom in Sports City,Private room in rental unit,private_room,Dubai,25314,1,2,1,f,,False,False,16,0.0,346,0.0,72,18,30,1,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.04478,55.21495
708 Modern 2BHK Apartment with pool Great location,Entire serviced apartment,entire_home,Dubai,25314,2,2,6,f,,False,True,106,0.0,2271,0.0,51,18,42,1,2.6,9.0,5.0,5.0,6.0,7.0,6.0,25.0444,55.21621
Spacious 1 bedroom studio,Entire serviced apartment,entire_home,Dubai,25314,1,2,4,f,,False,False,58,0.0,6976,0.0,124,100,97,4,4.2,10.0,9.0,8.0,10.0,9.0,9.0,25.04405,55.21632
Cozy studio apartment in Dubai Sports City,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,t,,False,False,51,0.0,8896,0.0,178,146,98,10,5.0,10.0,10.0,10.0,10.0,9.0,10.0,25.043,55.217
15 min to Dubai Marina | Elegant studio,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,49,0.0,10274,0.0,241,175,87,21,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.043,55.217
Jumbo Big 1 Bedroom with maid's room in sports cit,Entire condo,entire_home,Dubai,25314,1,2,2,f,41.0,False,True,158,0.0,190,0.0,2,1,60,0,,,,,,,,25.04382,55.21864
⭐️ ⭐️ ⭐️ ⭐️ ⭐️Relaxing and luxurious studio-Dubai,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,t,3.0,True,False,49,49.0,12446,0.0,197,181,100,57,4.9,10.0,10.0,10.0,10.0,9.0,10.0,25.044,55.217
LOVELY AND SPACIOUS 1BR APARTMENT WITH 2 BEDS,Entire rental unit,entire_home,دبي,25314,1,2,3,f,11.0,False,False,76,0.0,5297,0.0,205,58,34,2,5.0,10.0,10.0,8.0,8.0,6.0,10.0,25.04479,55.21685
Spacious One Bedroom Apartment,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,False,55,0.0,1590,0.0,49,24,59,3,,,,,,,,25.04399,55.2185
Luxury Studio Apartment in the beautiful Dubai,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,t,3.0,True,False,48,49.0,21244,0.0,365,324,100,76,4.8,10.0,10.0,9.0,10.0,9.0,9.0,25.045,55.215
Stylish studio at Sports City,Entire rental unit,entire_home,Dubai,25314,1,1,4,t,,False,False,92,0.0,1882,0.0,31,17,66,1,,,,,,,,25.045,55.216
"Elegant Studio in Stadium Point, Sports City",Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,54.0,False,False,65,0.0,392,0.0,9,5,67,3,4.0,10.0,8.0,8.0,10.0,6.0,8.0,25.04518,55.21791
2 bedroom in a serene environment and peaceful,Entire rental unit,entire_home,Dubai,25314,2,2,6,f,,False,False,91,0.0,3490,0.0,59,32,65,0,4.0,8.0,8.0,8.0,10.0,9.0,9.0,25.04768,55.18919
Luxurious Villa w/ Private Pool,Entire villa,entire_home,Dubai,25314,2,3,4,f,,False,False,191,0.0,4011,0.0,21,20,100,0,,,,,,,,25.047,55.19
studio apartment in jvt,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,82,0.0,991,0.0,31,10,39,1,,,,,,,,25.047,55.19
Parties Welcome | VIP | Pool | 5BHK | LIFT | BBQ,Entire home,entire_home,Dubai,25314,5,6,12,t,,False,False,1889,0.0,26748,0.0,59,12,24,1,5.0,10.0,10.0,9.0,10.0,8.0,8.0,25.04818,55.19098
Modern 2BR Apartment in JLT - Sleeps 5!,Entire rental unit,entire_home,Dubai,25314,2,3,5,f,,False,False,101,0.0,6038,0.0,61,50,98,3,,,,,,,,25.04711503476361,55.19463771410126
High End City view 2 bedroom apartment,Entire condo,entire_home,Dubai,25314,2,3,6,f,1.0,True,True,173,68.0,9564,0.0,131,45,41,4,4.5,9.0,9.0,9.0,9.0,9.0,9.0,25.048,55.195
OFFER! 50% OFF! I'm awesome and can sleep 4!,Entire condo,entire_home,Dubai,25314,1,2,4,t,,False,False,44,0.0,1213,0.0,52,23,53,2,4.5,10.0,9.0,9.0,9.0,8.0,8.0,25.048,55.195
50% DISCOUNT GIVEN! I'm awesome and can sleep 6!!,Entire condo,entire_home,Dubai,25314,2,3,6,t,,False,False,67,0.0,13735,0.0,205,173,100,19,4.6,10.0,9.0,10.0,9.0,10.0,9.0,25.048,55.195
Lovely two bedroom apartment with pool,Entire condo,entire_home,Dubai,25314,2,3,4,f,,False,True,193,0.0,1380,0.0,13,6,55,5,,,,,,,,25.048,55.195
Spacious 1 BHK in JVT | Balcony,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,True,53,0.0,1216,0.0,37,19,62,2,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.048,55.195
Lovely Condo-Jumeirah Village Triangle | Pool View,Entire condo,entire_home,Dubai,25314,Studio,1,2,f,,False,True,68,0.0,1055,0.0,33,13,47,0,4.7,10.0,10.0,9.0,10.0,9.0,10.0,25.04881,55.19514
Huge masterbedroom in cute 2 bedroom townhouse,Private room in townhouse,private_room,Dubai,25314,1,2,2,f,,False,False,82,0.0,98,0.0,2,1,60,0,,,,,,,,25.04933,55.19218
Modern 2BR in the Heart of JVT!,Entire rental unit,entire_home,Dubai,25314,2,3,5,f,162.0,False,False,118,54.0,18654,0.0,217,123,68,23,4.3,9.0,9.0,9.0,9.0,8.0,9.0,25.04887,55.19503
OFFER! 50% GIVEN! Incredible 6BR villa in the JVT!,Entire villa,entire_home,Dubai,25314,6,6,10,t,,False,False,419,0.0,14087,0.0,41,28,82,2,,,,,,,,25.051,55.188
A dedicated bedroom in an amazing Villa.,Private room in villa,private_room,Dubai,25314,1,1,1,f,1.0,False,False,97,0.0,13760,0.0,173,118,82,19,,,,,,,,25.05246,55.19021
5 bedroom + maid villa 10min from Dubai Marina,Entire villa,entire_home,Dubai,25314,5,7,11,f,,False,True,592,0.0,4292,0.0,25,6,29,1,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.05176,55.19063
Stylish & Sophisticated 2BR Apt in JVT,Entire rental unit,entire_home,Dubai,25314,2,3,5,f,,False,False,99,0.0,8680,0.0,137,73,64,13,3.8,9.0,8.0,9.0,9.0,7.0,8.0,25.04689,55.19648
Large 1BR apartment with a Study in JVC!,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,False,85,0.0,4972,0.0,78,49,75,3,5.0,10.0,10.0,8.0,6.0,10.0,10.0,25.0471,55.19798
Cozy & Homely 2 bedroom apartment with Pool.,Entire rental unit,entire_home,Dubai,25314,2,3,5,f,,False,True,163,0.0,16196,0.0,138,83,72,0,,,,,,,,25.049,55.197
2 BR Aprtmt With Pool View,Entire rental unit,entire_home,Dubai,25314,2,5,5,f,,False,True,107,0.0,8881,0.0,83,72,100,2,4.8,10.0,9.0,10.0,10.0,10.0,9.0,25.05,55.199
OFFER! 50% OFF! Awesome flat for 4 and high spec!,Entire rental unit,entire_home,Dubai,25314,1,2,4,t,,False,False,44,0.0,1113,0.0,46,21,55,0,,,,,,,,25.05,55.199
Ghalia tower @ JVC,Entire rental unit,entire_home,دبي,25314,1,2,4,f,1.0,True,False,88,0.0,106,0.0,2,1,60,0,,,,,,,,25.05054,55.19848
MikeyStays | Mesmerising 1BHK | JVC | GYM & Pool,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,False,71,0.0,12746,0.0,272,149,66,10,4.8,10.0,10.0,10.0,10.0,10.0,10.0,25.04731,55.19954
MikeyStays | Homey Studio | Wifi Netflix Gym Pool,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,60,0.0,3916,0.0,251,54,26,13,4.8,10.0,9.0,10.0,10.0,9.0,10.0,25.04795,55.19948
MikeyStays ! Fabulous 1BHK with Wifi GYM & Pool,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,False,59,0.0,3304,0.0,160,47,35,9,4.8,10.0,10.0,9.0,10.0,9.0,9.0,25.04823,55.19978
MikeyStays | Vibrant 1BHK | Dubai JVC | Balcony,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,False,73,0.0,7061,0.0,248,81,39,13,4.8,10.0,10.0,9.0,10.0,9.0,9.0,25.0482,55.20013
Sandoval Gardens. Relaxing pool.,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,False,43,0.0,4994,0.0,147,97,79,5,4.9,10.0,10.0,10.0,10.0,9.0,10.0,25.04868,55.19949
Bright and Upscale 1 BR in Jumeirah Village Circle,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,73.0,True,False,89,52.0,23255,0.0,313,205,79,24,4.8,10.0,9.0,9.0,9.0,9.0,9.0,25.04853,55.20029
MikeyStays | Ultimate 1BHK Dubai | Wifi | Gym Pool,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,False,70,0.0,5764,0.0,183,68,45,12,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.04724,55.20145
MikeyStays | Fantastic 1BHK | Dubai JVC | Balcony,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,False,72,0.0,11146,0.0,258,128,60,14,4.7,9.0,10.0,9.0,10.0,9.0,9.0,25.04743,55.20165
Private Room w/ ensuite in 2 Bedroom Apartment,Private room in rental unit,private_room,Dubai,25314,1,1,2,f,1.0,False,False,109,54.0,748,27.2333,6,2,40,9,,,,,,,,25.04728,55.20232
Cheap & furnished studio - JVC/near Five Hotel,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,True,68,0.0,3527,0.0,57,43,91,5,5.0,10.0,9.0,9.0,10.0,9.0,9.0,25.047,55.203
"Large room, close to Metro",Private room in rental unit,private_room,Dubai,25314,1,1,2,f,,False,True,106,0.0,4981,0.0,127,39,37,14,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.047,55.203
A New Lovely Luxury Apartment with Free Parking,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,44,0.0,2416,0.0,61,46,90,1,,,,,,,,25.050119802360392,55.19955540217304
Fantastic 1 BR in Sandoval Gardens JVC! Sleeps 4!,Entire rental unit,entire_home,دبي,25314,1,2,4,f,,False,False,63,0.0,7991,0.0,151,106,84,8,4.8,10.0,10.0,10.0,10.0,9.0,9.0,25.05,55.2
"Sandoval Gardens 1br w/ city view, pool & gym",Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,True,124,0.0,300,0.0,11,2,22,0,,,,,,,,25.05,55.2
Beautiful 2 bed Duplex with a pool,Private room in rental unit,private_room,Dubai,25314,1,2,1,f,,False,False,59,0.0,142,0.0,30,2,8,6,3.6,7.0,7.0,7.0,7.0,7.0,7.0,25.05047,55.1997
Cozy apartment in JVC,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,3.0,False,False,142,0.0,5427,0.0,42,32,91,2,4.0,10.0,8.0,10.0,10.0,6.0,8.0,25.04988,55.20051
Amazing 2 BR Apartment with 5* Hotel Facilities,Entire rental unit,entire_home,Dubai,25314,2,2,5,t,1.0,True,False,93,0.0,7382,0.0,81,66,98,3,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.05249,55.19659
Artsy Studio at Shamal Waves JVC,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,556.0,True,False,102,30.0,9115,0.0,97,73,90,7,4.7,10.0,10.0,10.0,10.0,9.0,9.0,25.051,55.199
Comfortable Studio- Ghalia Tower,Entire rental unit,entire_home,دبي,25314,1,1,2,f,,False,False,83,0.0,1096,0.0,30,11,44,3,,,,,,,,25.052,55.19819
High Floor - Amazing Views - JVC,Entire rental unit,entire_home,دبي,25314,Studio,1,2,f,,False,False,74,0.0,3574,0.0,69,40,70,1,5.0,10.0,10.0,10.0,10.0,10.0,10.0,25.05218,55.19821
Elegant Studio with Pool and Private Balcony,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,160.0,True,False,77,37.0,12569,0.0,269,131,58,15,4.2,9.0,8.0,8.0,8.0,8.0,8.0,25.053,55.198
Spacious hotel condo style home,Entire rental unit,entire_home,Dubai,25314,2,3,5,f,,False,False,110,0.0,8470,0.0,77,67,100,0,5.0,10.0,10.0,10.0,10.0,9.0,9.0,25.053,55.198
Luxury Studio Apartment JVC Tower 108 Dubai,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,54,0.0,4322,0.0,138,67,58,6,,,,,,,,25.053,55.198
Charismatic Studio Apartment,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,True,False,75,0.0,5520,0.0,160,61,46,7,3.4,8.0,8.0,8.0,7.0,7.0,8.0,25.05363,55.19804
